user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,cleaned_text,sentiment,topic,misinformation_label
Chimére L. Smith,"Baltimore, MD",Middle School ELA; Reader; Lover of Cake; COVID-19 Survivor.,2010-08-17 22:29:07,538,416,416,False,2020-08-30,"Ok, #COVID19 Long Haulers, since most of the time we must rest, watch the first season of #TheBoys. It is such a go… https://t.co/yyV6QGj1sf","['COVID19', 'TheBoys']",Twitter for iPhone,False,ok long haulers since time must rest watch first season go,POSITIVE,1,true information
www.THEPIGEONEXPRESS.com,online,The Pigeon Express @PigeonExpress_ || News Feed Loop,2018-10-30 05:54:46,1034,110,4109,False,2020-08-08,Venezuelans who break coronavirus rules made to sit under the sun. #Venezuela #Caracas #Tachira #Sun #Coronavirus… https://t.co/j96iokKOVS,"['Venezuela', 'Caracas', 'Tachira', 'Sun', 'Coronavirus']",TweetDeck,False,venezuelans break coronavirus rules made sit sun,NEGATIVE,0,unverified claim
99X Technology,"Colombo, Sri Lanka","A leading software engineering company headquartered in Colombo, Sri Lanka with offices in Oslo, Norway, serving established and start-up ISVs",2010-02-25 12:04:16,3098,226,512,False,2020-07-28,"""Our priorities throughout the pandemic have been the safety and wellbeing of our people, and to save every job by… https://t.co/YqwDdfqZ2Z",,Twitter Web App,False,priorities throughout pandemic safety wellbeing people save every job,POSITIVE,0,true information
Claudia Mellenthin🇨🇭,"Schmitten (FR), Freiburg","Primary care, with my patients leading their treatment. Clinical teacher, pancreatic cancer research, pancreatic cancer awareness.",2015-03-25 18:49:02,1063,1363,11989,False,2020-08-18,"I really love towns, and I love public transport. I have a GA, a ticket for all of 🇨🇭for a year. #COVID19 has chang… https://t.co/1VRw3QTA91",['COVID19'],Twitter for iPhone,False,really love towns public transport ga ticket year chang,POSITIVE,1,true information
NANCY,USA,FORMERLY W/@9NEWS★OPINIONS ARE MINE★PATRIOT★ProLife★2A★ MAGA★NAVY★Schoolw/Øbama★ RETWEETS Go GLOBAL👍🏼-FAVES R NOT SEEN ➖FB: @PragerU @GenFlynn et al,2012-01-04 02:38:05,92075,48242,67012,False,2020-08-01,"@doug_dd @SaraCarterDC Before you start accusing Sara read this.

These tests were UNOPENED and were returned as al… https://t.co/HeOkmg6P7h",,Twitter for iPad,False,start accusing sara read tests unopened returned al,NEGATIVE,2,unverified claim
Coronavirus Updates,,"COVID-19 (Coronavirus) Latest News & Statistics.
We post updates 24/7 as they come in, all stats are from official sources.
#Coronavirus #COVID19",2020-03-07 12:52:51,510,1,0,False,2020-08-18,"174 new cases and 10 new deaths in Canada 

[19:15 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic","['coronavirus', 'CoronaVirusUpdate', 'COVID19', 'CoronavirusPandemic']",COVID19-Updates,False,174 new cases 10 deaths canada 19 15 gmt,NEGATIVE,2,true information
EmpTunes On iTunes,UK,Available On All Music Streaming Sites,2012-03-30 02:00:52,348,58,104,False,2020-08-13,In The Doom Days Of #COVID19 And Other Troubles There Is A Song Produced For You To Meditate For Solutions... https://t.co/guvtdVDVXA,['COVID19'],IFTTT,False,doom days troubles song produced meditate solutions,NEGATIVE,1,true information
Jarrod J. Cain,,Why is this section so hard to fill out?,2014-04-22 19:40:21,25,63,237,False,2020-07-28,The CEOs are going rabid! @realDonaldTrump Please help us middle class hard and educated workers who are being laid… https://t.co/CZ0hgLASrj,,Twitter for Android,False,ceos going rabid please help us middle class hard educated workers laid,NEGATIVE,0,unverified claim
Tiger and Kitten,Reality,"We do 2 or 4 wheels.
One wheel proved unsuccessful. Repeatedly.
So don't let your ambitions outweigh your talent.
Views are through our helmet visors.",2011-12-22 08:35:55,440,3139,2056,False,2020-08-22,"@sunrainmakerain @DanielAndrewsMP He *might* be right from a purely scientific theory perspective, but the world is… https://t.co/1PFX4evync",,Twitter for Android,False,might right purely scientific theory perspective world,POSITIVE,0,unverified claim
Nine News Sydney,"Sydney, Australia",Sydney's No.1 News with @PeterOverton and @GeorgieG. Nightly at 6.00pm on @Channel9. #9News,2010-07-28 05:48:13,124737,395,769,True,2020-08-14,"Prime Minister Scott Morrison has apologised for governmental failures in tackling the #COVID19 pandemic, but has b… https://t.co/WhGLr7ef9A",['COVID19'],TweetDeck,False,prime minister scott morrison apologised governmental failures tackling pandemic b,NEGATIVE,0,true information
PharmaState,"Delhi, India","The Online Ecosystem of the Pharmaceutical Industry
for Discussions, Jobs, Pharma News & Updates, Professional Profile display space, B2B & much more...",2016-07-28 17:39:45,375,117,0,False,2020-07-28,"Coronavirus19 / COVID19 Update | 28 July 2020
Follow #PharmaState Page &amp; get Covid-19 Exclusive Updates!… https://t.co/e6WCB1wXym",['PharmaState'],Twitter Web App,False,coronavirus19 covid19 update 28 july 2020 follow page amp get covid 19 exclusive updates,NEGATIVE,0,true information
BenHillCountyEMA,"Fitzgerald, GA",,2018-10-09 21:13:01,12,17,0,False,2020-08-10,"Here is an update from the CDC on COVID19 - August 10 2020 12:22:01

https://t.co/Rn4qqfHW8U

#COVID19… https://t.co/jHl9VTGSG1",['COVID19'],Zapier.com,False,update cdc covid19 august 10 2020 12 22 01,NEGATIVE,0,unverified claim
PIB in Mizoram,"Mizoram, India","Official Twitter account of Press Information Bureau, Government of India, Mizoram, Aizawl.",2017-10-20 08:54:10,3617,117,111,True,2020-08-22,"#Mizoram: 8 new #Covid19 positive cases detected during last 24 hrs.

Total Cases 903
Cured/Discharged 420
Active Cases 483","['Mizoram', 'Covid19']",Twitter for Android,False,8 new positive cases detected last 24 hrs total 903 cured discharged 420 active 483,NEGATIVE,2,true information
moneycontrol,Mumbai,"Moneycontrol is India’s No. 1 financial portal. Tune in for breaking news, in-depth analyses, best investment tools. Get #MCPro for exclusive content & benefits",2009-08-26 07:55:29,889138,285,980,True,2020-07-28,"""With respect to therapeutics... I think over the next couple of weeks, we'll have some really very good things to… https://t.co/IpDNliW4Wf",,Twitter Web App,False,respect therapeutics think next couple weeks really good things,POSITIVE,1,true information
ATF Vile Parle,"Mumbai, India",Our goal is to get folks to a healthier place!,2016-09-14 10:24:50,48,60,10,False,2020-08-22,#happyganeshchaturthi #anytimefitness #anytimefitnessvileparle #anytimefitnessindia #gettoahealthierplace… https://t.co/xMfIih2Aif,"['happyganeshchaturthi', 'anytimefitness', 'anytimefitnessvileparle', 'anytimefitnessindia', 'gettoahealthierplace']",Instagram,False,,POSITIVE,1,LABEL_UNKNOWN
Brown Butler Chartered Accountants,"Leeds, England","Formed in 1919, we are proactive accountancy and tax specialists advising and supporting UK business owners and accountants.",2018-12-07 11:39:15,166,128,116,False,2020-08-12,"#COVID19 - UK officially in #recession for first time in 11 years

https://t.co/yCd4uhWXbz","['COVID19', 'recession']",Hootsuite Inc.,False,uk officially first time 11 years,POSITIVE,2,true information
Alyssa K,"Philadelphia, PA",Public health nerd who believes healthcare is a human right. All opinions here are my own.,2009-05-26 15:37:55,408,1218,3361,False,2020-08-01,Where are y’all getting quarters right now? A coin shortage in a global pandemic is rough for people with coin laun… https://t.co/OVvmJCeEMb,,Twitter for iPhone,False,getting quarters right coin shortage global pandemic rough people laun,NEGATIVE,0,true information
Arirang News,대한민국 서울,Your Daily Source For Korean & Global News,2016-10-04 07:58:41,7442,14,6744,True,2020-08-22,"▪ TRAINEE DOCTORS STRIKE

Trainee doctors protest against plan to increase number of medical students

#COVID19… https://t.co/9GOkOkOWXt",['COVID19'],Twitter Media Studio,False,trainee doctors strike protest plan increase number medical students,NEGATIVE,0,unverified claim
Jitender Bhardwaj,"New Delhi, India","Covering (MHA) Internal & External-intelligence-agency, Security force, Border Management, India’s neighbouring nations.",2013-05-14 09:11:41,1842,171,7170,False,2020-07-25,"Single-day spike of 48,916 positive cases &amp; 757 deaths in India in the last 24 hours. 

Total #COVID19 positive cas… https://t.co/5mV5wLhkeb",['COVID19'],Twitter for iPhone,False,single day spike 48 916 positive cases amp 757 deaths india last 24 hours total cas,NEGATIVE,2,true information
New Delhi Times,"New Delhi, India","New Delhi Times, the most authentic source of news from India since 1991.",2013-02-26 09:00:36,188423,195,10,True,2020-08-17,"National Geospatial Intelligence Agency solicits proposals to counter future pandemics
By @_Himansh_
#USA… https://t.co/d5wFvIzTbb",['USA'],WordPress.com,False,national geospatial intelligence agency solicits proposals counter future pandemics,POSITIVE,0,true information
Free Malaysia Today,"ÜT: 3.099457,101.681025",Free and Independent #FMTNews,2010-01-05 16:17:15,154808,2,0,False,2020-08-30,Researchers say Brazil's outbreak is advancing at a slow but steady pace. #FMTNews #Covid19  https://t.co/SNZuDDZ4a2,"['FMTNews', 'Covid19']",Twitter Web App,False,researchers say brazil outbreak advancing slow steady pace,NEGATIVE,0,true information
Rajnarayan Vishwakarma,"Mumbai, India",Freelance Web Developer/Designer & also Web #Journalist,2010-01-21 07:32:17,24,121,577,False,2020-07-28,The production of the Oxford coronavirus vaccine named Covidshield—one of the frontrunner #COVID19 vaccine candidat… https://t.co/pTEee7copv,['COVID19'],Twitter for Android,False,production oxford coronavirus vaccine named covidshield one frontrunner candidat,NEGATIVE,0,true information
🏙🥂Carrie (Carol) Bell 🥂🌃,"Wentworth, Surrey","Champagne/EnglishSparkling/fine wine/fine dining blogger: Celebrated Property Professional/Liveryman; travel/sailing/rugby enthusiast, - WSET L2/3. Views my own",2011-08-11 15:35:56,765,1177,22154,False,2020-07-25,To those still thinking that their belief in their God and the power of prayer will save them from #COVID19 - it wo… https://t.co/TPSJIMAieB,['COVID19'],Twitter for iPad,False,still thinking belief god power prayer save wo,NEGATIVE,1,unverified claim
Claromentis,UK • USA • AU • CA,"Go beyond the #intranet to the #digitalworkplace.   We help your #business share information, work smarter, and engage with people to reach your goals.",2008-11-14 22:18:59,5555,4449,171,False,2020-08-18,"As businesses rely on ​intranet software​ during lockdown, employees are being encouraged to be autonomous in their… https://t.co/kxdXUld6a0",,Sprout Social,False,businesses rely intranet software lockdown employees encouraged autonomous,NEGATIVE,0,true information
Ding-A-Ling,"San Antonio, TX","Amateur troll, he/him/dude/bro/bruh",2012-07-12 10:15:55,66,359,113,False,2020-07-27,@tequilacowgirl Suck it up butter cup. I had it a few weeks ago and other then having the shits. It wasn’t that bad… https://t.co/5DxMZl8aLT,,Twitter for iPhone,False,suck butter cup weeks ago shits bad,NEGATIVE,1,unverified claim
Paula Marttila,,“All that is necessary for the triumph of evil is that good men do nothing”: E. Burke. #WomenInTech #MeToo #GenderEquality #Democracy 🇫🇮 🇸🇪,2008-08-17 20:40:17,4417,1076,798,False,2020-08-22,🇸🇪 Tegnell @Folkhalsomynd #HerdImmunity emails showcase how it was focused on no-lockdown strategy despite well awa… https://t.co/FOXdFZ3VQH,['HerdImmunity'],Twitter Web App,False,tegnell emails showcase focused lockdown strategy despite well awa,POSITIVE,0,true information
ActivistBowen,Hong Kong,"person, web writer, dissident, son, brother, friend; NOT a 1-man show; RTs = IMPORTANCE, NOT NECESSARILY ENDORSEMENTS; REASONABLENESS over loyalty",2011-06-08 20:17:01,3219,4007,4254,False,2020-08-17,"23101 new cases: hashtag THREE (LITTLE-NO SOCIAL DISTANCING) (August 17, 2020; 10:59 HKT) #COVID2019 #COVID19 #BRAZIL","['COVID2019', 'COVID19', 'BRAZIL']",Twitter Web App,False,23101 new cases hashtag three little social distancing august 17 2020 10 59 hkt,NEGATIVE,2,unverified claim
Najy Benhassine (Stay Safe),"Islamabad, Pakistan",World Bank Country Director for #Pakistan,2020-07-30 22:08:02,3135,108,4,True,2020-08-12,"As #COVID19 cases in #SouthAsia increase exponentially, the @WorldBank's support to the region has grown to over $4… https://t.co/cSOzkxj3XV","['COVID19', 'SouthAsia']",Twitter Web App,False,cases increase exponentially support region grown 4,POSITIVE,2,true information
Health News Florida,"Tampa, FL","Since 2006, we've provided in-depth health journalism for Floridians. We're a part of WUSF Public Media, with reporters in Tampa, Miami and Orlando.",2009-02-13 19:36:57,6641,4332,74,False,2020-07-29,"LISTEN: Not only is this predicted to be one of the hottest summers on record, but the #coronavirus is exacerbating… https://t.co/jJWQaP4STE",['coronavirus'],TweetDeck,False,listen predicted one hottest summers record exacerbating,NEGATIVE,1,true information
clapforcarers,,Clap for our carers | Show your appriciations | #clapforourcarers,2020-03-22 00:54:42,105,7,2864,False,2020-08-02,"DAILY #COVID19 UPDATE -- In the IN, (India), there are 1804702 confirmed cases, 1187228 people have recovered, and… https://t.co/3rgVw4To6v",['COVID19'],WayScript,False,daily update india 1804702 confirmed cases 1187228 people recovered,POSITIVE,2,true information
Tim Gale,"Bristol and Bournemouth, UK","Academic specialising in Tourism. Geographer. Welsh. Ferroequinologist. AFOL. Sharing ideas, stuff. Contains traces of life outside work. Views my own",2009-07-27 08:44:02,849,680,6453,False,2020-08-12,‘Insane’ hotel concepts for a post-pandemic world. Good basis for a discussion #hotels #design #COVID19 https://t.co/1VSszQ91mh,"['hotels', 'design', 'COVID19']",Twitter for iPhone,False,insane hotel concepts post pandemic world good basis discussion,POSITIVE,0,unverified claim
"Dana Philipps, PhD 🧬 🔍 👩‍🏫",Jersey,"Biology/Forensic #sci geek, professional teenager wrangler, & sleep-deprived mama. #scicomm #edu",2009-02-22 15:11:39,348,1003,14709,False,2020-08-01,#MedTwitter: So if someone claimed that their friend recovered from #COVID19 in 3 days (after getting hydroxychloro… https://t.co/BwKGJoSlfB,"['MedTwitter', 'COVID19']",Twitter Web App,False,someone claimed friend recovered 3 days getting hydroxychloro,NEGATIVE,2,unverified claim
