user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,label,cleaned_text
Firdaus Hashim,Singapore,"Another news and current affairs junkie from Singapore. Curious to know more about my home region, Asia, and the Middle East.",2007-09-20 20:37:11,1000,1347,3475,False,2020-08-01,#Japan Acted Like the Virus Had Gone. Now It’s Spread Everywhere.  https://t.co/YPTkdepP1I #COVID19 #coronavirus,"['Japan', 'COVID19', 'coronavirus']",Twitter for Android,False,unverified claim,acted like virus gone spread everywhere
Moe,Ur mom,"BIDEN 2020, bye don 👋, #BLM,",2020-05-20 02:40:54,137,380,284,False,2020-07-28,"Lol 145,000 dead to covid and he’s spending his time on this 😂 #COVID19 #Hydroxychloroquine #TrumpFailsAmerica… https://t.co/dBfBDdn6NO","['COVID19', 'Hydroxychloroquine', 'TrumpFailsAmerica']",Twitter for iPhone,False,unverified claim,lol 145 000 dead covid spending time
🚁#SaveTimeless 🐢🍎🎣🧸,United States,#Clockblocker #Thalassophile ❤️ #MCU #Outlander #AStartingPoint #Heartie #GrantUsAFamily #TeamPopcorn 👊🏻👊🏽👊🏿,2011-04-21 08:13:11,727,209,61920,False,2020-08-16,"@lindakleintop @dawnflite @brbird @brspndr Hahaha i love this song, especially in 2020!!! #COVID19 https://t.co/t0tK3bGdSB",['COVID19'],Twitter for iPhone,False,unverified claim,hahaha love song especially 2020
CSW USA,"Casper, Wyoming","We are Christian Solidarity Worldwide-USA, a partner to the non-profit CSW organizations. We advocate for religious freedom for all peoples and faiths.",2010-09-20 20:40:31,1152,57,0,False,2020-07-30,"As the #COVID19 pandemic continues to spread, we share some of the growing concerns about the impact in prisons.  https://t.co/fG6S5zwIjP",['COVID19'],Hootsuite Inc.,False,true information,pandemic continues spread share growing concerns impact prisons
Whateverrr💋,"BayArea, CA",Chillinnnnnn,2010-06-21 06:02:21,552,226,3995,False,2020-08-16,Need this..  I’m so over it 😒 #wakemeupwhenitsover #COVID19 https://t.co/0AaHVRSvsq,"['wakemeupwhenitsover', 'COVID19']",Twitter for iPhone,False,unverified claim,need
ChristMeal.com,Worldwide,Official Twitter account for https://t.co/vtZnU1ZLsw - Africa's Loudest Online Gospel Portal || Send your press kits to i@christmeal.com | Contact: @VivorEric,2013-08-13 19:58:57,3764,845,2206,False,2020-07-25,"#covid19 #Ghana Update:

Avoid contact with persons with flu-like symptoms

#BeSafe","['covid19', 'Ghana', 'BeSafe']",Cubi.so,False,true information,update avoid contact persons flu like symptoms
Allan Maleche,Nairobi Kenya,ED of award winning @KELINKenya & leader of a young generation of public interest lawyers shaping Kenya's democratic destiny. Views are my own.,2012-01-26 16:28:38,3980,2812,562,False,2020-08-09,👏🏿 Amazing leadership by @jacindaardern on the fight against #COVID19  100 days with zero community transmission. T… https://t.co/T19JdyZzSc,['COVID19'],Twitter for Android,False,unverified claim,amazing leadership fight 100 days zero community transmission
Pankaj Yadav,"Najafgarh, New Delhi","A Senior Journalist in Delhi | 23 Yrs | Worked with intn'l news orgns KYODO NEWS, KUNA, ANI/REUTERS | Now a Freelancer| Ex-Treasurer, FCC of South Asia.",2014-01-21 07:09:32,414,917,6237,False,2020-08-30,"#Japanese brand @UniqloIn Jeans @ Rs 2990 per piece.....that too in #COVID19 times....!
TOO EXPENSIVE....!!
Not sui… https://t.co/cTF3QCiRKK","['Japanese', 'COVID19']",Twitter for Android,False,true information,brand jeans rs 2990 per piece times expensive sui
Wellcome,Global,"We're a health research foundation. We support scientists, take on big health challenges, campaign for better science & help everyone get involved in research.",2009-01-31 23:30:47,181136,1887,15690,True,2020-07-26,"“We need to start asking the right questions, right now,” says Prof @trudie_lang 

As #COVID19 continues, we must s… https://t.co/ubuzghaEBX",['COVID19'],Sprout Social,False,unverified claim,need start asking right questions says prof continues must
Rajnarayan Vishwakarma,"Mumbai, India",Freelance Web Developer/Designer & also Web #Journalist,2010-01-21 07:32:17,24,121,577,False,2020-07-28,The production of the Oxford coronavirus vaccine named Covidshield—one of the frontrunner #COVID19 vaccine candidat… https://t.co/pTEee7copv,['COVID19'],Twitter for Android,False,true information,production oxford coronavirus vaccine named covidshield one frontrunner candidat
Suky Spook,England,"Expect the unexpected, it's a deep rabbit hole. Non reliquit lapis qui non reversatur.",2011-07-21 09:49:11,2033,2044,98886,False,2020-08-09,"@MsRightMsRight Imo on one level #COVID19 is a test for stupid. 
Sadly lots of people have passed said test. 😳🤪",['COVID19'],Twitter for iPhone,False,unverified claim,imo one level test stupid sadly lots people passed said
DoTale,Kolkata,"Online Food Mart and Delivery Service at Your Doorstep.
Your own local bazaar, at your fingertip.
Free, Fast & Fresh Deliveries.",2020-05-10 07:42:47,0,0,0,False,2020-08-30,"From now your market responsibility is ours - DoTale

#DoTale #KMDassSolutions #COVID19 #sanitize #disinfectant… https://t.co/mIIxHOv06W","['DoTale', 'KMDassSolutions', 'COVID19', 'sanitize', 'disinfectant']",Twitter Web App,False,true information,market responsibility dotale
SpeakTrueAlways,India,Live for nothing or die for something,2019-12-29 03:15:26,6,45,1581,False,2020-08-09,"@globaltimesnews China is responsible for all kind virus  #ChineseNoodleArmy
#WuhanVirus 
#ChineseVirus
#COVID19… https://t.co/RV09CBdL7h","['ChineseNoodleArmy', 'WuhanVirus', 'ChineseVirus', 'COVID19']",Twitter for Android,False,unverified claim,china responsible kind virus
RadioNLNews,Kamloops,"B.C.'s hardest working newsroom. Serving #Kamloops and area with breaking local news for 50 years. 
☎️: 250-374-1610 ✉️: nlnews@radionl.com",2010-07-27 16:17:02,7124,2135,192,False,2020-08-22,The #Kamloops Accommodation Association says the main driver for hotel stays is starting to recover. #COVID19… https://t.co/nfx9KzmpOI,"['Kamloops', 'COVID19']",TweetDeck,False,true information,accommodation association says main driver hotel stays starting recover
Garret Wassermann for PA-45th 🌻,PA 45th district,"Mathematician, physicist, computer scientist. 2020 @AlleghenyGreens Candidate, PA State Representative 45th District. #BanFracking, #GreenNewDeal, #SinglePayer.",2018-04-06 18:35:30,409,799,15119,False,2020-07-27,"Nope, @PADems &amp; @PAGOP thought handouts to the oil &amp; gas industry was the top priority over #COVID19. So much of a… https://t.co/UFhxgb2mRS",['COVID19'],Twitter Web App,False,unverified claim,nope amp thought handouts oil gas industry top priority much
Mrbandot,"San Francisco, CA","International Contractor Engineering, speak 7 languages the entire planet is my home. Antipathy of snollygosters and there ilk!",2019-05-26 03:24:25,149,379,8459,False,2020-07-28,"@potus bought 63 million doses of Hydroxychloroquine. So he will use the Vets as guinea pigs, to prove the drug is… https://t.co/xYtpDWqvmR",,Twitter for Android,False,true information,bought 63 million doses hydroxychloroquine use vets guinea pigs prove drug
California Community Colleges,"Sacramento, CA","The California Community Colleges is the largest system of higher education in the nation, with 116 colleges serving 2.1 million students.",2011-03-09 18:51:46,11971,2755,5535,False,2020-08-18,"TODAY’S NEWS: Ed Department Appeals Calif. Emergency Grant Case via @insidehighered.

Read this story and more abou… https://t.co/nwuUoGCa6e",,Twitter Web App,False,true information,today news ed department appeals calif emergency grant case via read story abou
Pragativadi,"Bhubaneswar, India","The only unbiased Odia Daily, Founded by Shri Pradyumn Kishore Bal.",2015-05-27 05:34:06,11302,322,149,False,2020-08-01,"756 #COVID19 patients recover in #Odisha

https://t.co/vG490FgSDl","['COVID19', 'Odisha']",Twitter Web App,False,true information,756 patients recover
Aurelia Cotta,"Toronto, Ontario","The Personal is Political. Parenting after infertility and loss, being an #adoptee Liberal #cdnpoli #onpoli #adhd #mentalhealth",2009-01-16 04:43:56,6503,5022,7872,False,2020-08-02,"@mslongpre Yeah, think about it, he tells the world that he ""followed medical advice"" except he doesn't. 

He screw… https://t.co/EKrd9bIEtB",,Twitter for Android,False,true information,yeah think tells world followed medical advice except screw
Shanky,"Dubai, India & Vienna ","Advertising, Frequent Flyer, Race Driver, ANIMALS OVER HUMANS, Vegan, Husband, Father & Fitness Freak...and importantly, I am not your Target Audience!!!",2009-06-09 12:25:06,1449,4938,18608,False,2020-08-30,"In other news, India recorded 78761 #COVID19 positive cases in the last 24 hours.  Highest single day surge! https://t.co/1hMAxwOCJY",['COVID19'],Twitter for iPhone,False,true information,news india recorded 78761 positive cases last 24 hours highest single day surge
Kagiso Fortune,,"A Human Kong🦍🤨?

https://t.co/oasr1rIAtW",2019-03-09 08:50:16,43,258,2182,False,2020-08-12,"I am an Afrobeats Artist,Producer,Songwriter,Rapper,Singer.With All this talents,i only lack equipment..Show Love w… https://t.co/0kRMkqG4C1",,Twitter for Android,False,unverified claim,afrobeats artist producer songwriter rapper singer talents lack equipment show love w
Kelvin Golding CMktr FCIM FISM FIDM,"London, England",Marketing Educator @uniofbeds | Social Mobility (#BAME) | FTSE100 Consultant | Top💯 SME Marketer | Course Director @CIM_Exchange | #Marketing #CMO #Influencer,2009-03-17 20:29:27,1614,622,5750,False,2020-07-25,"In An Era Of COVID-19 Disruption, Brands Must Rethink Marketing As Empathetic Customer Experiences… https://t.co/w2fhgUTVbI",,Hootsuite Inc.,False,unverified claim,era covid 19 disruption brands must rethink marketing empathetic customer experiences
Meloy Ivie,"Washington, DC",#Feminist. Opinions are my own.,2014-01-14 01:11:32,161,1158,9461,False,2020-08-16,"Pro tip, ladies. When you don’t want to keep taking your mask off &amp; on. Turn it into an arm band. #COVID19… https://t.co/v22MEdbLVp",['COVID19'],Twitter for iPhone,False,true information,pro tip ladies want keep taking mask amp turn arm band
Rob C. Johnson,,"writer, college student from Independence, Louisiana",2009-09-10 02:41:07,1835,3191,2099,False,2020-07-28,#COVID19 stay safe out there everyone! #coronavirus #COVIDー19 #WritingCommunity #writerslift #writers,"['COVID19', 'coronavirus', 'COVIDー19', 'WritingCommunity', 'writerslift', 'writers']",Twitter for Android,False,unverified claim,stay safe everyone
Satya Prakash Dash,"ad-interim pause in Berlin, DE","Founding Team @BIRAC_2012, Board @venture_center FoundingDirector @PATHtweets ImpactLab Designed 15 natl prog #BIG #SPARSH #SIIP #BioNEST #BREC #BRIC #AcE #SEED",2009-07-26 22:09:10,1045,807,1,False,2020-08-08,"I love the #GIF! &amp; great messaging @Centogene 
#TestBeforeYouTravel #COVID19 https://t.co/MMqyHMJWP5","['GIF', 'TestBeforeYouTravel', 'COVID19']",Twitter Web App,False,unverified claim,love amp great messaging
Malcolm Cesar,Atlanta,Creator of The Super Affiliate Bizleads Automation Summit,2019-10-25 23:55:32,138,269,61,False,2020-07-27,PART 1: It’s been a crazy year so far with all of this COVID-19 stuff and there are plenty of challenges for everyo… https://t.co/pWandzBK0m,,Twitter Web App,False,unverified claim,part 1 crazy year far covid 19 stuff plenty challenges everyo
AlastairJohn Sellick,"Cape Town, South Africa",Soutie who didn't run #CapeTown #WindsurfingReport #MTB fanatic CapeEpic2017 & CapeEpic2019 finisher Author asserts moral rights © Retweets don't endorse 🇿🇦,2009-06-11 21:58:45,1275,4391,9524,False,2020-08-01,#Golf #Covid19 I think I finally won... 🇿🇦⛳️🇺🇸 (@ Hermanus Golf Club) https://t.co/LAgpfAOhoG https://t.co/Of5z6cJbl4,"['Golf', 'Covid19']",Foursquare,False,true information,think finally hermanus golf club
Oxyfind Technologies Pvt Ltd,"Guwahati, Assam","Hardware-less Contact Less Entry | Zero Crowd Zone Technology | Peer to Peer Tele Medicine for Hospital & Clinics

Read more: https://t.co/ZfX9gLiyHq",2020-03-27 10:24:04,6,6,13,False,2020-08-08,Oxyfind provides automated appointments through various platforms&amp;tele-medicine feature called Oxyphone enables con… https://t.co/wGD0kYSq9o,,Twitter for Android,False,true information,oxyfind provides automated appointments various platforms amp tele medicine feature called oxyphone enables con
Small Cap Strategist,New York City,"Debra Fiakas is the Small Cap Strategist and MD of Crystal Equity Research, an independent research source on small-cap companies.  Note disclosures in reports.",2009-05-06 15:12:46,3238,1032,162,False,2020-07-28,Amyris $AMRS and The Infectious Disease Research Institute partner to advance novel RNA vaccine platform -… https://t.co/2MPcBlgLXo,,Twitter Web App,False,true information,amyris amrs infectious disease research institute partner advance novel rna vaccine platform
chicago tuff,Chicago ,"Kinky, hedonist psychotherapist with Dom tendencies. I love cuck couples. Kinky Couples, sub women. I like learning what gets people off.",2015-02-17 17:04:07,60,142,171,False,2020-07-25,@HorseshoeHammnd why give people masks? No one is wearing them.  No one asks them to leave. No security at all. Soo… https://t.co/BFiCI509R8,,Twitter for iPhone,False,unverified claim,give people masks one wearing asks leave security soo
Henshaws,Across the North of England,A charity supporting blind / visually impaired people & those with a range of other disabilities. Taking you #BeyondExpectations #Blind #Disability #SightLoss,2009-03-20 11:44:56,6340,1135,5266,False,2020-08-30,Mark ventured out &amp; about on the high street to look in detail at some of the changes that shops/services have put… https://t.co/U8nWd8Dyrb,,Buffer,False,true information,mark ventured amp high street look detail changes shops services put
Arirang News,대한민국 서울,Your Daily Source For Korean & Global News,2016-10-04 07:58:41,7442,14,6744,True,2020-08-22,"▪ TRAINEE DOCTORS STRIKE

Trainee doctors protest against plan to increase number of medical students

#COVID19… https://t.co/9GOkOkOWXt",['COVID19'],Twitter Media Studio,False,unverified claim,trainee doctors strike protest plan increase number medical students
Scott Hauck,"Mancos, CO",Our family focuses on living and farming according to the laws of nature.,2020-03-24 19:29:51,49,97,161,False,2020-08-17,"@jasonmauck1 TRUTH. 

There was a swine flu, hong kong flu, in 1969. it killed 1-4million globally. And we threw wo… https://t.co/nBSm5cxUma",,Twitter Web App,False,true information,truth swine flu hong kong 1969 killed 1 4million globally threw wo
Shankar Prasad,New Delhi,"#BigDataEngineer, #DataScience, #AI, #MachineLearning, #Python",2010-05-07 16:38:52,46,407,406,False,2020-08-18,"#Bot result - #Covid19 Latest Updates - #Gurugram

                Positive: 10472 | Active: 762 | Recovered: 9580… https://t.co/XiFHjPU7Wx","['Bot', 'Covid19', 'Gurugram']",shankar_live_bot,False,true information,result latest updates positive 10472 active 762 recovered 9580
Nigel Munya,"Harare, Zimbabwe",GOD FIRST | TECH SAVVY | MINIMALIST | PROGRAMMER | DESIGNER | FARMER,2011-01-23 08:38:59,330,166,2663,False,2020-08-04,"@263Chat Surprisingly according to these stats:

▪Only about 3.7% of the #Covid19 cases resulted in death
▪ About 5… https://t.co/rl2ZBCr90N",['Covid19'],Twitter Web App,False,true information,surprisingly according stats 3 7 cases resulted death 5
food4adventure,,"social distancing got you stuck? bored? staring at the ceiling?

me too! 

follow me for food failures, successes, and random food ideas 

insta: food4adventure",2014-05-29 21:24:31,20,114,25,False,2020-08-22,"Who here wants a fire grilled salmon  🤤🤤🤤

Check out my instagram for more healthy, keto, diet friendly, and delici… https://t.co/JLVskzV3NR",,Twitter for Android,False,unverified claim,wants fire grilled salmon check instagram healthy keto diet friendly delici
Mike McMullen,"London, Ontario","PPC Candidate, 2019 Federal Election
R/Ts are not endorsements  When the government no longer serves the will of the people, that government must be replaced.",2019-04-11 19:14:54,3090,1654,8868,False,2020-07-25,"@DailyCaller I suppose the good news is, #covid19 doesn't appear to affect large crowds of protestors.",['covid19'],Twitter Web App,False,unverified claim,suppose good news appear affect large crowds protestors
A better tomorrow,"London, England","Having a vision is important, but it all comes down to execution.  An inclusive society is a shared responsibility for a better tomorrow.",2013-04-27 10:20:24,24,301,328,False,2020-08-06,@ozm #coronavirus #COVID19 existed in bats,"['coronavirus', 'COVID19']",Twitter for Android,False,true information,existed bats
